timestamp,price,High,Low,Open,trading_volume,symbol
,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,
2024-06-01,3813.198974609375,3829.294677734375,3749.840087890625,3759.88427734375,8661024535,ETH-USD
2024-06-02,3780.89599609375,3834.911865234375,3752.41455078125,3813.275634765625,11126903059,ETH-USD
2024-06-03,3766.38916015625,3848.60302734375,3758.919921875,3780.854248046875,14082454300,ETH-USD
2024-06-04,3812.515869140625,3831.364990234375,3738.13427734375,3766.476318359375,13331489271,ETH-USD
2024-06-05,3864.260986328125,3887.48583984375,3778.65576171875,3812.560791015625,15480034434,ETH-USD
2024-06-06,3811.60595703125,3878.05224609375,3761.775390625,3864.263427734375,13606583873,ETH-USD
2024-06-07,3678.629150390625,3838.4521484375,3615.2802734375,3811.666015625,18220286186,ETH-USD
2024-06-08,3680.949951171875,3707.497314453125,3669.637939453125,3677.400390625,9096091805,ETH-USD
2024-06-09,3705.90380859375,3719.36767578125,3668.12353515625,3680.93603515625,7910768788,ETH-USD
2024-06-10,3666.717529296875,3711.4287109375,3648.16455078125,3705.877197265625,10377300126,ETH-USD
2024-06-11,3498.33056640625,3669.890869140625,3434.7490234375,3666.35888671875,19184721538,ETH-USD
2024-06-12,3559.61767578125,3652.4921875,3463.784912109375,3497.89697265625,17142905351,ETH-USD
2024-06-13,3469.28125,3559.725341796875,3431.33349609375,3559.725341796875,14472382154,ETH-USD
2024-06-14,3480.27197265625,3528.602294921875,3366.223876953125,3467.969970703125,15793876596,ETH-USD
2024-06-15,3565.549560546875,3589.887451171875,3473.45263671875,3479.78564453125,12733651076,ETH-USD
2024-06-16,3620.5634765625,3648.093017578125,3541.534423828125,3566.761962890625,9878388158,ETH-USD
2024-06-17,3511.37890625,3634.285400390625,3468.14892578125,3622.383544921875,17838856988,ETH-USD
2024-06-18,3483.681396484375,3514.17724609375,3371.59033203125,3510.565185546875,21022514455,ETH-USD
2024-06-19,3559.347412109375,3583.320068359375,3466.48095703125,3482.350830078125,15275373778,ETH-USD
2024-06-20,3511.0869140625,3623.886474609375,3485.4599609375,3559.347412109375,16115123753,ETH-USD
2024-06-21,3516.07568359375,3542.957275390625,3447.935546875,3511.268310546875,15933353456,ETH-USD
2024-06-22,3494.8134765625,3519.49755859375,3477.169921875,3516.55126953125,7423703673,ETH-USD
2024-06-23,3418.61181640625,3519.324951171875,3408.5830078125,3494.953857421875,9418141333,ETH-USD
2024-06-24,3350.25634765625,3430.698974609375,3244.241455078125,3418.783203125,23137744903,ETH-USD
2024-06-25,3395.029052734375,3422.21337890625,3335.556884765625,3350.5556640625,13235546063,ETH-USD
2024-06-26,3369.477294921875,3421.509521484375,3328.390625,3394.373291015625,11694054195,ETH-USD
2024-06-27,3444.800537109375,3470.923095703125,3362.2646484375,3368.88623046875,11771834016,ETH-USD
2024-06-28,3373.635986328125,3482.95751953125,3363.4375,3445.498779296875,12861158844,ETH-USD
2024-06-29,3372.9677734375,3401.730224609375,3369.552734375,3373.68994140625,6584792001,ETH-USD
2024-06-30,3432.88916015625,3453.21142578125,3352.284423828125,3373.07568359375,8396416013,ETH-USD
2024-07-01,3440.341552734375,3513.310791015625,3425.3232421875,3432.607421875,12281551839,ETH-USD
